City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
129,Komsomolskiy,40.4272,71.7189,70.52,35,0,6.91,UZ,clear sky
130,Baoqing,46.3317,132.2111,62.82,70,5,6.4,CN,clear sky
131,Bredasdorp,-34.5322,20.0403,49.5,80,24,5.5,ZA,few clouds
132,Esperance,-33.8667,121.9,53.69,74,100,20.94,AU,moderate rain
133,Thiruvananthapuram,8.4833,76.9167,78.78,83,75,3.44,IN,mist
134,Labuhan,-6.8844,112.2051,76.48,84,40,9.66,ID,scattered clouds
135,Sitka,57.0531,-135.33,61.86,76,100,12.37,US,light rain
136,Norman Wells,65.282,-126.8329,69.84,32,75,4.61,CA,broken clouds
137,Butaritari,3.0707,172.7902,81.93,77,4,16.55,KI,clear sky
138,Hami,42.8,93.45,69.1,20,1,5.03,CN,clear sky
139,Trelaze,47.45,-0.4667,63.05,96,20,2.3,FR,few clouds
140,Flinders,-34.5833,150.8552,51.19,87,100,10.0,AU,light rain
141,Fort Nelson,58.8053,-122.7002,77.27,30,35,1.54,CA,scattered clouds
142,Mayo,38.8876,-76.5119,83.35,69,0,5.01,US,clear sky
143,Lavrentiya,65.5833,-171.0,44.02,75,73,4.25,RU,broken clouds
144,Bartica,6.4,-58.6167,75.52,95,88,3.04,GY,heavy intensity rain
145,Provideniya,64.3833,-173.3,48.16,66,13,0.02,RU,few clouds
146,Moose Factory,51.2585,-80.6094,77.79,60,58,16.73,CA,broken clouds
147,Tasiilaq,65.6145,-37.6368,41.16,64,97,6.58,GL,overcast clouds
148,Tiznit,29.5833,-9.5,81.18,36,61,3.44,MA,broken clouds
149,Talnakh,69.4865,88.3972,41.09,79,99,1.16,RU,overcast clouds
150,Vostok,46.4856,135.8833,59.94,63,0,1.43,RU,clear sky
151,Garowe,8.4054,48.4845,73.51,66,59,26.11,SO,broken clouds
152,Kamina,-8.7386,24.9906,72.32,47,100,2.95,CD,overcast clouds
153,Balyaga,51.1507,108.921,49.64,92,34,2.82,RU,scattered clouds
154,Timbo,-26.8233,-49.2717,63.91,97,73,2.77,BR,broken clouds
155,Kieta,-6.2167,155.6333,82.33,74,100,1.97,PG,overcast clouds
156,Grindavik,63.8424,-22.4338,50.47,87,0,11.5,IS,clear sky
157,Iqaluit,63.7506,-68.5145,40.73,93,75,8.05,CA,broken clouds
158,Ostrovnoy,68.0531,39.5131,48.15,96,100,24.79,RU,light rain
159,Filadelfia,39.9523,-75.1638,81.48,53,75,14.97,US,broken clouds
160,Zavetnoye,47.1194,43.8903,68.36,31,31,16.75,RU,scattered clouds
161,Byron Bay,-28.65,153.6167,57.16,91,100,9.33,AU,light rain
162,Padang,-0.9492,100.3543,74.12,96,100,4.18,ID,light rain
163,Upata,8.0086,-62.3989,76.19,93,98,2.21,VE,overcast clouds
164,Port-Cartier,50.0334,-66.8654,56.75,71,9,8.86,CA,clear sky
165,Chuy,-33.6971,-53.4616,47.8,74,29,15.39,UY,scattered clouds
166,Hermosillo,29.0667,-110.9667,90.68,60,100,6.91,MX,overcast clouds
167,Gualaquiza,-3.4,-78.55,68.18,81,37,1.57,EC,scattered clouds
168,Ribeira Grande,38.5167,-28.7,72.63,75,100,11.97,PT,overcast clouds
169,Bengkulu,-3.8004,102.2655,74.12,97,100,13.11,ID,overcast clouds
170,San Rafael,-34.6177,-68.3301,57.94,22,0,10.8,AR,clear sky
171,Korla,41.7597,86.1469,68.83,35,6,1.88,CN,clear sky
172,Nanortalik,60.1432,-45.2371,49.44,56,93,19.93,GL,overcast clouds
173,Nago,26.5881,127.9761,81.45,88,100,30.44,JP,moderate rain
174,Omboue,-1.5746,9.2618,75.43,86,50,5.61,GA,scattered clouds
175,Galesong,-5.3166,119.3661,75.22,69,24,3.13,ID,few clouds
176,Sehithwa,-20.4667,22.7167,57.52,24,0,6.67,BW,clear sky
177,Takoradi,4.8845,-1.7554,74.05,93,28,6.91,GH,scattered clouds
178,Borogontsy,62.6683,131.1683,42.06,95,100,7.58,RU,overcast clouds
179,Korem,12.5058,39.5228,56.61,79,54,1.72,ET,broken clouds
180,Havre-Saint-Pierre,50.2334,-63.5986,55.56,76,18,15.05,CA,few clouds
181,Eyl,7.9803,49.8164,75.63,74,12,25.19,SO,few clouds
182,Yar-Sale,66.8333,70.8333,45.37,74,100,17.87,RU,overcast clouds
183,Alyangula,-13.8483,136.4192,73.56,74,23,21.23,AU,few clouds
184,Adrar,20.5022,-10.0711,97.09,19,100,3.74,MR,overcast clouds
185,Yenotayevka,47.2456,47.0281,70.45,34,88,16.28,RU,overcast clouds
186,Geraldton,-28.7667,114.6,57.61,88,100,14.97,AU,overcast clouds
187,Diebougou,10.9667,-3.25,73.54,89,93,3.29,BF,overcast clouds
188,Baracoa,20.3467,-74.4958,80.42,81,70,7.92,CU,broken clouds
189,Gat,31.61,34.7642,79.48,100,3,6.31,IL,clear sky
190,Jiuquan,39.7432,98.5174,66.51,28,69,12.19,CN,broken clouds
191,Bhainsdehi,21.6467,77.6325,72.91,87,16,1.86,IN,few clouds
192,Sisimiut,66.9395,-53.6735,50.4,84,100,20.24,GL,overcast clouds
193,Ankazoabo,-22.2833,44.5167,59.99,69,19,4.47,MG,few clouds
194,Belyy Yar,53.6039,91.3903,48.09,78,0,0.0,RU,clear sky
195,Olafsvik,64.8945,-23.7142,48.52,87,28,10.49,IS,scattered clouds
196,Lahad Datu,5.0268,118.327,76.48,92,100,3.11,MY,overcast clouds
197,Pevek,69.7008,170.3133,36.43,80,100,5.12,RU,overcast clouds
198,Longyearbyen,78.2186,15.6401,44.44,87,75,0.0,SJ,broken clouds
199,Purpe,64.4803,76.6897,44.19,74,100,12.95,RU,overcast clouds
200,Tapejara,-28.0681,-52.0139,56.41,98,100,4.76,BR,overcast clouds
201,Katobu,-4.9408,122.5276,76.59,90,14,4.07,ID,few clouds
202,Carpinteria,34.3989,-119.5185,108.1,42,8,7.02,US,clear sky
203,Ifakara,-8.1333,36.6833,68.27,57,12,5.39,TZ,few clouds
204,Ponta Do Sol,32.6667,-17.1,72.23,83,61,4.92,PT,broken clouds
205,Ulaanbaatar,47.9077,106.8832,39.33,93,40,2.24,MN,scattered clouds
206,Chiang Khong,20.2613,100.4046,72.12,97,83,0.56,TH,broken clouds
207,New Norfolk,-42.7826,147.0587,49.91,67,14,2.48,AU,few clouds
